Date,Open,High,Low,Close,Adj Close,Volume
2017-12-01,1.189910,1.193987,1.185213,1.189825,1.189825,0
2017-12-04,1.185705,1.187874,1.183124,1.185986,1.185986,0
2017-12-05,1.186859,1.187931,1.180889,1.186775,1.186775,0
2017-12-06,1.183054,1.184834,1.178134,1.183292,1.183292,0
2017-12-07,1.180498,1.180916,1.177718,1.180429,1.180429,0
2017-12-08,1.177440,1.177718,1.173186,1.177218,1.177218,0
2017-12-11,1.176928,1.181042,1.176886,1.176997,1.176997,0
2017-12-12,1.177718,1.179299,1.171893,1.177759,1.177759,0
2017-12-13,1.174357,1.177024,1.173048,1.174260,1.174260,0
2017-12-14,1.183992,1.185986,1.177163,1.183586,1.183586,0
2017-12-15,1.177523,1.181401,1.176166,1.177496,1.177496,0
2017-12-18,1.174674,1.183432,1.174315,1.174357,1.174357,0
2017-12-19,1.178287,1.183292,1.177704,1.178425,1.178425,0
2017-12-20,1.183712,1.190122,1.183012,1.184133,1.184133,0
2017-12-21,1.187775,1.189202,1.185017,1.187818,1.187818,0
2017-12-22,1.185157,1.186197,1.181754,1.185733,1.185733,0
2017-12-25,1.185677,1.188495,1.184904,1.185607,1.185607,0
2017-12-26,1.187127,1.187790,1.184750,1.187254,1.187254,0
2017-12-27,1.186099,1.191043,1.185565,1.185789,1.185789,0
2017-12-28,1.190023,1.195500,1.189825,1.190079,1.190079,0
2017-12-29,1.193987,1.202284,1.193802,1.194172,1.194172,0
2018-01-01,1.200495,1.201504,1.199904,1.200495,1.200495,0
2018-01-02,1.201086,1.208094,1.200855,1.201158,1.201158,0
2018-01-03,1.206200,1.206709,1.200495,1.206345,1.206345,0
2018-01-04,1.201129,1.209190,1.200495,1.201043,1.201043,0
2018-01-05,1.206622,1.208459,1.202154,1.206884,1.206884,0
2018-01-08,1.203949,1.205400,1.195972,1.203746,1.203746,0
2018-01-09,1.196960,1.197576,1.191796,1.197046,1.197046,0
2018-01-10,1.192933,1.201634,1.192449,1.192933,1.192933,0
2018-01-11,1.195486,1.205923,1.193118,1.195614,1.195614,0
2018-01-12,1.204210,1.215613,1.204137,1.204210,1.204210,0
2018-01-15,1.219304,1.229900,1.218814,1.219230,1.219230,0
2018-01-16,1.226994,1.228124,1.219676,1.226843,1.226843,0
2018-01-17,1.227144,1.232149,1.219914,1.227129,1.227129,0
2018-01-18,1.218145,1.226257,1.217508,1.218398,1.218398,0
2018-01-19,1.223586,1.229483,1.222031,1.223661,1.223661,0
2018-01-22,1.225595,1.226663,1.221464,1.225550,1.225550,0
2018-01-23,1.225731,1.230700,1.222359,1.225625,1.225625,0
2018-01-24,1.230966,1.240199,1.229513,1.231027,1.231027,0
2018-01-25,1.239603,1.252992,1.238651,1.239111,1.239111,0
2018-01-26,1.239234,1.249016,1.238743,1.239234,1.239234,0
2018-01-29,1.242823,1.243194,1.233806,1.242807,1.242807,0
2018-01-30,1.238175,1.245221,1.233685,1.238114,1.238114,0
2018-01-31,1.240833,1.247661,1.240064,1.240957,1.240957,0
2018-02-01,1.241742,1.248782,1.238651,1.241866,1.241866,0
2018-02-02,1.251267,1.251799,1.241188,1.251001,1.251001,0
2018-02-05,1.244710,1.247816,1.240156,1.244694,1.244694,0
2018-02-06,1.236828,1.242854,1.231618,1.236782,1.236782,0
2018-02-07,1.238145,1.240325,1.227853,1.238129,1.238129,0
2018-02-08,1.226843,1.229453,1.221658,1.226813,1.226813,0
2018-02-09,1.226076,1.228547,1.222643,1.226076,1.226076,0
2018-02-12,1.225340,1.229710,1.223631,1.225280,1.225280,0
2018-02-13,1.230118,1.237200,1.228607,1.230376,1.230376,0
2018-02-14,1.235300,1.241619,1.227853,1.235376,1.235376,0
2018-02-15,1.246712,1.251200,1.245051,1.246727,1.246727,0
2018-02-16,1.250735,1.255808,1.243054,1.250360,1.250360,0
2018-02-19,1.241188,1.243800,1.237103,1.241188,1.241188,0
2018-02-20,1.239910,1.240910,1.232195,1.239864,1.239864,0
2018-02-21,1.233548,1.234701,1.230073,1.233532,1.233532,0
2018-02-22,1.228034,1.235330,1.226166,1.228184,1.228184,0
2018-02-23,1.232605,1.233500,1.228049,1.232666,1.232666,0
2018-02-26,1.228833,1.235483,1.228245,1.228713,1.228713,0
2018-02-27,1.231603,1.234568,1.222315,1.231557,1.231557,0
2018-02-28,1.222210,1.224290,1.218918,1.223032,1.223032,0
